iter	RMSE
0	12.90195938
1	11.24315424
2	9.859416298
3	8.826725678
4	8.042073327
5	7.347710256
6	6.834578561
7	6.406050265
8	6.083289574
9	5.871929939
10	5.704722693
11	5.553536026
12	5.459570864
13	5.361038495
14	5.297079804
15	5.246341912
16	5.21239157
17	5.135907801
18	5.105857377
19	5.07504682
20	5.060453789
21	5.050511186
22	5.034670487
23	5.030261818
24	5.017606549
25	4.998250511
26	4.994669346
27	4.986200826
28	4.982279469
29	4.939629018
30	4.911360369
31	4.891595697
32	4.881378947
33	4.876073561
34	4.872396739
35	4.838784163
36	4.831884177
37	4.823953335
38	4.8239247
39	4.810515793
40	4.803849483
41	4.799790168
42	4.790598904
43	4.79053046
44	4.78877652
45	4.783378166
46	4.782032379
47	4.781725999
48	4.778878602
49	4.778521312
50	4.77731679
51	4.776211366
52	4.775602204
53	4.774731759
54	4.772352362
55	4.772033789
56	4.772020844
57	4.767889051
58	4.765254102
59	4.757703418
60	4.756057931
61	4.754951018
62	4.748082921
63	4.742847048
64	4.741790572
65	4.738955567
66	4.738181651
67	4.733622872
68	4.732927616
69	4.731227081
70	4.731034604
71	4.730935979
72	4.729230798
73	4.719929585
74	4.71673816
75	4.716165457
76	4.714425632
77	4.713318384
78	4.712473642
79	4.710275606
80	4.708632674
81	4.708574115
82	4.708559455
83	4.704871774
84	4.70452143
85	4.703815401
86	4.702916125
87	4.701903023
88	4.700666045
89	4.697885067
90	4.696289505
91	4.693605817
92	4.692892316
93	4.692722582
94	4.689852633
95	4.685061324
96	4.684789293
97	4.683793609
98	4.683150164
99	4.681500869
100	4.68103905
101	4.680421338
102	4.6794066
103	4.679318968
104	4.678719305
105	4.67858107
106	4.677875695
107	4.67743426
108	4.677358854
109	4.676555979
110	4.676138139
111	4.675509062
112	4.67321384
113	4.672060988
114	4.672014832
115	4.671146221
116	4.669843803
117	4.668704865
118	4.6683069
119	4.667750024
120	4.667359689
121	4.665286952
122	4.664398974
123	4.663772438
124	4.662758816
125	4.661961743
126	4.661826755
127	4.66128455
128	4.659742552
129	4.659456722
130	4.65934814
131	4.659080913
132	4.659050104
133	4.659024497
134	4.658586422
135	4.658559933
136	4.656905607
137	4.656484046
138	4.656312663
139	4.656059375
140	4.655520862
141	4.653400881
142	4.653077441
143	4.652803128
144	4.652346536
145	4.652055621
146	4.651864783
147	4.651717814
148	4.651631354
149	4.651414464
150	4.650725732
151	4.650155501
152	4.649707712
153	4.648971381
154	4.648857953
155	4.648510837
156	4.648230406
157	4.648078403
158	4.648055285
159	4.647684004
160	4.647302907
161	4.64716933
162	4.64670368
163	4.646227835
164	4.645976993
165	4.645897586
166	4.645810231
167	4.64565997
168	4.64551096
169	4.645318163
170	4.645120946
171	4.645027001
172	4.644783838
173	4.643748856
174	4.643583098
175	4.643542577
176	4.643434949
177	4.643351359
178	4.643287447
179	4.64304867
180	4.64256028
181	4.64255917
182	4.641889347
183	4.64144808
184	4.641392471
185	4.641373628
186	4.641319171
187	4.641241514
188	4.641057365
189	4.640899341
190	4.640614308
191	4.640425009
192	4.640173413
193	4.63980538
194	4.639479068
195	4.639271232
196	4.639089439
197	4.638377857
198	4.63820292
199	4.637406466
200	4.637209484
201	4.637108062
202	4.636968013
203	4.636300305
204	4.635993558
205	4.635964986
206	4.635531887
207	4.635390739
208	4.634546651
209	4.634499905
210	4.634317987
211	4.634190193
212	4.634000365
213	4.633765041
214	4.633396158
215	4.63333552
216	4.633123469
217	4.63256124
218	4.632360143
219	4.632287406
220	4.632241606
221	4.630351644
222	4.630246991
223	4.629767494
224	4.62964238
225	4.629446712
226	4.628583721
227	4.626898962
228	4.62632802
229	4.62627929
230	4.625613299
231	4.625438845
232	4.625240948
233	4.62468312
234	4.624017373
235	4.623242626
236	4.623153216
237	4.623130888
238	4.622976336
239	4.622912183
240	4.62289545
241	4.622458304
242	4.622362898
243	4.622335025
244	4.622231367
245	4.622208376
246	4.621953854
247	4.62194063
248	4.621692401
249	4.620915244
250	4.620418658
251	4.620239928
252	4.620219161
253	4.619985523
254	4.618927591
255	4.618780587
256	4.618704765
257	4.616723313
258	4.616551054
259	4.616143874
260	4.615785798
261	4.615593474
262	4.615438245
263	4.615134216
264	4.615038247
265	4.61466686
266	4.614366239
267	4.614165817
268	4.614030321
269	4.61392193
270	4.613837916
271	4.61373543
272	4.613721554
273	4.613241609
274	4.613199493
275	4.612987143
276	4.612815012
277	4.612810571
278	4.61260477
279	4.611916049
280	4.611715515
281	4.611622388
282	4.611469024
283	4.6112931
284	4.611188434
285	4.611176653
286	4.610811726
287	4.610811711
288	4.610698605
289	4.610359702
290	4.610152711
291	4.610087413
292	4.60951205
293	4.609181956
294	4.608987479
295	4.60894894
296	4.608822205
297	4.60852527
298	4.608279591
299	4.608024215
