iter	Passed	Remaining
0	55	16536
1	162	24225
2	203	20151
3	238	17681
4	274	16174
5	315	15482
6	365	15310
7	425	15525
8	486	15730
9	534	15502
10	571	15027
11	610	14661
12	655	14474
13	706	14434
14	758	14402
15	798	14166
16	835	13912
17	879	13776
18	927	13710
19	972	13615
20	1018	13532
21	1062	13427
22	1114	13422
23	1166	13415
24	1218	13399
25	1268	13372
26	1313	13276
27	1360	13214
28	1407	13153
29	1454	13089
30	1514	13145
31	1560	13070
32	1625	13147
33	1690	13223
34	1754	13283
35	1810	13277
36	1858	13211
37	1898	13091
38	1947	13033
39	1998	12993
40	2054	12980
41	2103	12920
42	2153	12870
43	2212	12869
44	2265	12835
45	2329	12860
46	2369	12755
47	2418	12694
48	2477	12691
49	2531	12657
50	2577	12585
51	2629	12542
52	2671	12449
53	2713	12360
54	2831	12613
55	2879	12545
56	2913	12419
57	2971	12398
58	3030	12379
59	3090	12362
60	3156	12369
61	3205	12303
62	3244	12205
63	3304	12184
64	3355	12132
65	3398	12048
66	3462	12040
67	3505	11961
68	3550	11887
69	3602	11835
70	3659	11802
71	3709	11746
72	3766	11712
73	3821	11672
74	3865	11595
75	3919	11551
76	3974	11509
77	4052	11535
78	4089	11441
79	4137	11378
80	4186	11320
81	4230	11247
82	4277	11182
83	4321	11113
84	4373	11061
85	4429	11021
86	4484	10979
87	4534	10923
88	4589	10881
89	4636	10819
90	4689	10769
91	4764	10771
92	4819	10727
93	4876	10685
94	4916	10608
95	4969	10560
96	5017	10499
97	5056	10422
98	5097	10350
99	5148	10297
100	5209	10263
101	5266	10222
102	5323	10182
103	5371	10124
104	5426	10077
105	5478	10026
106	5541	9995
107	5595	9947
108	5644	9889
109	5687	9823
110	5729	9756
111	5784	9710
112	5836	9658
113	5890	9610
114	5937	9552
115	5989	9500
116	6039	9446
117	6088	9390
118	6138	9336
119	6186	9279
120	6232	9219
121	6289	9175
122	6345	9131
123	6394	9076
124	6444	9021
125	6491	8964
126	6540	8910
127	6589	8854
128	6641	8804
129	6691	8750
130	6753	8712
131	6829	8692
132	6875	8632
133	6923	8576
134	6970	8518
135	7026	8473
136	7146	8502
137	7249	8510
138	7288	8441
139	7403	8460
140	7468	8422
141	7523	8370
142	7588	8331
143	7655	8292
144	7709	8241
145	7751	8175
146	7791	8110
147	7828	8040
148	7871	7976
149	7997	7997
150	8213	8105
151	8285	8067
152	8399	8070
153	8489	8048
154	8536	7985
155	8576	7917
156	8707	7931
157	8828	7934
158	8892	7885
159	8949	7830
160	9007	7776
161	9063	7720
162	9111	7657
163	9168	7603
164	9227	7549
165	9264	7478
166	9321	7423
167	9368	7360
168	9424	7305
169	9473	7244
170	9523	7184
171	9560	7114
172	9609	7054
173	9663	6997
174	9724	6945
175	9774	6886
176	9824	6827
177	9866	6762
178	9908	6697
179	9963	6642
180	10006	6578
181	10050	6516
182	10091	6451
183	10144	6395
184	10197	6339
185	10238	6275
186	10273	6208
187	10311	6142
188	10376	6094
189	10428	6037
190	10474	5977
191	10520	5917
192	10570	5860
193	10628	5807
194	10670	5745
195	10703	5679
196	10749	5620
197	10810	5568
198	10871	5517
199	10923	5461
200	10966	5401
201	11034	5353
202	11079	5294
203	11135	5240
204	11183	5182
205	11228	5123
206	11266	5061
207	11314	5004
208	11365	4948
209	11421	4894
210	11471	4838
211	11522	4782
212	11574	4727
213	11624	4671
214	11674	4615
215	11721	4558
216	11768	4501
217	11810	4442
218	11859	4386
219	11907	4330
220	11955	4273
221	12006	4218
222	12055	4162
223	12107	4107
224	12162	4054
225	12212	3998
226	12269	3945
227	12343	3897
228	12413	3848
229	12490	3801
230	12550	3748
231	12601	3693
232	12657	3639
233	12711	3585
234	12765	3530
235	12811	3474
236	12859	3418
237	12916	3364
238	12960	3307
239	13010	3252
240	13068	3199
241	13105	3141
242	13141	3082
243	13178	3024
244	13215	2966
245	13258	2910
246	13304	2854
247	13351	2799
248	13397	2744
249	13429	2685
250	13471	2629
251	13520	2575
252	13576	2522
253	13625	2467
254	13679	2413
255	13735	2360
256	13777	2305
257	13828	2251
258	13871	2195
259	13927	2142
260	13995	2091
261	14050	2037
262	14114	1985
263	14161	1931
264	14221	1878
265	14281	1825
266	14330	1771
267	14381	1717
268	14429	1662
269	14470	1607
270	14524	1554
271	14562	1499
272	14602	1444
273	14642	1389
274	14676	1334
275	14709	1279
276	14760	1225
277	14806	1171
278	14854	1118
279	14898	1064
280	14936	1009
281	14978	956
282	15019	902
283	15074	849
284	15146	797
285	15211	744
286	15266	691
287	15333	638
288	15389	585
289	15443	532
290	15487	478
291	15535	425
292	15580	372
293	15630	318
294	15672	265
295	15718	212
296	15774	159
297	15824	106
298	15874	53
299	15908	0
