iter	RMSE
0	14.46560178
1	13.8579745
2	13.28495253
3	12.74538937
4	12.2433075
5	11.76596184
6	11.31879282
7	10.90509477
8	10.5067306
9	10.13050402
10	9.788544538
11	9.476508437
12	9.177033159
13	8.898787158
14	8.635568
15	8.367116706
16	8.107983524
17	7.876373103
18	7.657995661
19	7.445786157
20	7.24784056
21	7.075027981
22	6.912914866
23	6.761227284
24	6.624114919
25	6.485646996
26	6.3603314
27	6.243678575
28	6.134202834
29	6.028746816
30	5.933638914
31	5.848278635
32	5.769105141
33	5.691770406
34	5.62080798
35	5.557596581
36	5.500453542
37	5.444592834
38	5.39329616
39	5.348219737
40	5.303884775
41	5.252441882
42	5.204492786
43	5.160016887
44	5.122085877
45	5.086604732
46	5.051805928
47	5.021235485
48	4.990973238
49	4.963504338
50	4.940044776
51	4.917209822
52	4.897134206
53	4.870953365
54	4.851961087
55	4.836493583
56	4.818814224
57	4.80554563
58	4.785522974
59	4.767729039
60	4.755202776
61	4.747158776
62	4.73494553
63	4.722533323
64	4.708284605
65	4.69818256
66	4.687292108
67	4.682178251
68	4.67501304
69	4.668066552
70	4.663133247
71	4.656949306
72	4.648087943
73	4.64094313
74	4.636807883
75	4.627119854
76	4.620931878
77	4.61802771
78	4.614723411
79	4.609108973
80	4.60558457
81	4.600711706
82	4.592258076
83	4.589403744
84	4.587561102
85	4.584688185
86	4.579948981
87	4.575525161
88	4.572852055
89	4.569896526
90	4.568678859
91	4.5626985
92	4.561140092
93	4.55825169
94	4.554908119
95	4.552512938
96	4.550265088
97	4.545786942
98	4.542746992
99	4.539802779
100	4.53829388
101	4.537282924
102	4.536245963
103	4.5345805
104	4.533591805
105	4.5326591
106	4.531291249
107	4.530350053
108	4.529143384
109	4.526036192
110	4.523508613
111	4.520230812
112	4.519706089
113	4.51867254
114	4.517108307
115	4.516168178
116	4.515307228
117	4.512832194
118	4.508789446
119	4.505697337
120	4.503086342
121	4.502119335
122	4.500944205
123	4.499283641
124	4.497592736
125	4.496892582
126	4.496501672
127	4.493933172
128	4.491518201
129	4.490631717
130	4.490347776
131	4.489232933
132	4.487984909
133	4.487962253
134	4.487255355
135	4.484178935
136	4.482788541
137	4.480544644
138	4.479739109
139	4.47789998
140	4.476602691
141	4.475795556
142	4.474053886
143	4.472627926
144	4.471866059
145	4.471673682
146	4.46946583
147	4.469437383
148	4.467992698
149	4.467232118
150	4.466707857
151	4.46543149
152	4.46498222
153	4.46400994
154	4.463106299
155	4.460384382
156	4.458844758
157	4.458373722
158	4.457810442
159	4.457456774
160	4.455670658
161	4.453873409
162	4.453723753
163	4.453651397
164	4.452766075
165	4.45125405
166	4.450834111
167	4.449773459
168	4.448962866
169	4.447582792
170	4.447521178
171	4.447478169
172	4.44726823
173	4.446726036
174	4.445240607
175	4.445072076
176	4.444428543
177	4.444122936
178	4.444040581
179	4.44286653
180	4.442341391
181	4.441476288
182	4.43962475
183	4.439083903
184	4.438941858
185	4.438316022
186	4.438164659
187	4.436904252
188	4.434946961
189	4.433157285
190	4.432031308
191	4.431647954
192	4.43077218
193	4.428278462
194	4.427974799
195	4.427973316
196	4.426795681
197	4.425729654
198	4.425101461
199	4.424524736
200	4.424434838
201	4.423183065
202	4.420722299
203	4.418644215
204	4.416303513
205	4.413835932
206	4.411531067
207	4.411521832
208	4.409966328
209	4.409483953
210	4.409142451
211	4.408590822
212	4.408581063
213	4.408474408
214	4.408471419
215	4.408406028
216	4.407908199
217	4.406708045
218	4.406554833
219	4.406436391
220	4.406411797
221	4.405789695
222	4.404315977
223	4.404193727
224	4.404182179
225	4.404073213
226	4.4040415
227	4.403967925
228	4.403760561
229	4.403759981
230	4.403043951
231	4.401526467
232	4.401510348
233	4.401500258
234	4.400191748
235	4.398722175
236	4.398495341
237	4.398283611
238	4.397078843
239	4.396983513
240	4.395826383
241	4.395491731
242	4.395397588
243	4.39530429
244	4.395297853
245	4.394334245
246	4.393136706
247	4.393090466
248	4.393022751
249	4.3913196
250	4.39122789
251	4.39114401
252	4.391074198
253	4.390774718
254	4.390529513
255	4.390521621
256	4.390508252
257	4.390419903
258	4.390386328
259	4.387908263
260	4.387899892
261	4.387823171
262	4.387657729
263	4.387404594
264	4.386689415
265	4.386611201
266	4.38583024
267	4.385826412
268	4.385752926
269	4.385745712
270	4.38531673
271	4.384973792
272	4.384844547
273	4.384768316
274	4.384647434
275	4.384639294
276	4.384016459
277	4.383886902
278	4.383752878
279	4.383749872
280	4.383355425
281	4.383350201
282	4.381478915
283	4.38100948
284	4.380722506
285	4.380574856
286	4.380216466
287	4.379807449
288	4.379154713
289	4.379047876
290	4.378547418
291	4.378471872
292	4.377566987
293	4.376124377
294	4.376044375
295	4.374939731
296	4.374814749
297	4.373280258
298	4.373114913
299	4.372723922
300	4.372627081
301	4.371206371
302	4.371079457
303	4.369343844
304	4.369276924
305	4.367668063
306	4.367267353
307	4.365850315
308	4.364240631
309	4.364146985
310	4.363454388
311	4.362567653
312	4.362364002
313	4.362085813
314	4.361847299
315	4.360247919
316	4.360183034
317	4.359693135
318	4.359562457
319	4.35929511
320	4.357943123
321	4.356734127
322	4.35536014
323	4.355108108
324	4.353408402
325	4.353107033
326	4.35307267
327	4.352852253
328	4.351420686
329	4.351182806
330	4.350374943
331	4.348577028
332	4.348243884
333	4.347835638
334	4.347477084
335	4.347273905
336	4.346432558
337	4.345944408
338	4.345378151
339	4.345070363
340	4.344854135
341	4.344590158
342	4.344124721
343	4.344020732
344	4.343544527
345	4.343468411
346	4.343250867
347	4.343174775
348	4.343035948
349	4.342855689
350	4.341781377
351	4.341602536
352	4.34102257
353	4.340954965
354	4.340793583
355	4.340374889
356	4.340083967
357	4.33978241
358	4.339705828
359	4.339118239
360	4.339072774
361	4.338121946
362	4.337834788
363	4.33760634
364	4.336880735
365	4.33681551
366	4.336624524
367	4.336395663
368	4.336014127
369	4.334180704
370	4.334128422
371	4.333722661
372	4.332373371
373	4.332321806
374	4.332299403
375	4.331351942
376	4.331195527
377	4.330533511
378	4.330194715
379	4.328827853
380	4.327297018
381	4.326857163
382	4.326766965
383	4.326712765
384	4.325641102
385	4.324699109
386	4.324636322
387	4.323797778
388	4.32365292
389	4.323622135
390	4.323539896
391	4.322802058
392	4.321541714
393	4.321530953
394	4.321412396
395	4.321405436
396	4.321288486
397	4.32015588
398	4.319851574
399	4.319670926
400	4.318754514
401	4.317422968
402	4.317371903
403	4.317288511
