iter	Passed	Remaining
0	131	131573
1	259	129382
2	358	119172
3	459	114374
4	564	112384
5	699	115896
6	821	116476
7	930	115343
8	1056	116369
9	1166	115465
10	1282	115290
11	1357	111735
12	1475	112057
13	1624	114421
14	1730	113654
15	1852	113951
16	1970	113916
17	2078	113372
18	2200	113603
19	2327	114044
20	2451	114268
21	2595	115369
22	2717	115427
23	2844	115692
24	2964	115626
25	3083	115499
26	3177	114502
27	3254	112961
28	3350	112190
29	3466	112077
30	3588	112171
31	3721	112584
32	3844	112644
33	3983	113187
34	4174	115096
35	4283	114715
36	4408	114752
37	4541	114959
38	4661	114867
39	4787	114902
40	4911	114892
41	5059	115401
42	5178	115260
43	5328	115782
44	5451	115702
45	5577	115666
46	5692	115432
47	5836	115747
48	5979	116042
49	6102	115949
50	6232	115967
51	6376	116251
52	6512	116372
53	6645	116412
54	6749	115961
55	6874	115890
56	7005	115896
57	7119	115627
58	7244	115535
59	7380	115621
60	7502	115490
61	7625	115368
62	7760	115421
63	7880	115258
64	8030	115519
65	8148	115314
66	8297	115546
67	8423	115455
68	8564	115561
69	8698	115568
70	8831	115556
71	8965	115553
72	9090	115437
73	9201	115143
74	9323	114984
75	9430	114653
76	9588	114933
77	9714	114829
78	9843	114758
79	9964	114590
80	10100	114601
81	10229	114515
82	10347	114323
83	10514	114659
84	10614	114258
85	10740	114148
86	10875	114133
87	11065	114678
88	11173	114371
89	11285	114108
90	11409	113974
91	11531	113812
92	11653	113656
93	11804	113772
94	11947	113817
95	12069	113659
96	12193	113516
97	12325	113447
98	12460	113403
99	12593	113345
100	12742	113425
101	12881	113409
102	13007	113280
103	13134	113156
104	13231	112782
105	13355	112642
106	13493	112613
107	13627	112550
108	13749	112391
109	13871	112229
110	13967	111863
111	14084	111671
112	14204	111498
113	14343	111476
114	14479	111429
115	14610	111339
116	14737	111224
117	14897	111356
118	15021	111210
119	15142	111047
120	15242	110729
121	15372	110634
122	15483	110398
123	15602	110223
124	15752	110270
125	15906	110332
126	16034	110223
127	16141	109964
128	16271	109865
129	16400	109754
130	16468	109244
131	16595	109129
