start_point,end_point,time_of_day,day_of_week,traffic_condition,event_count,is_holiday,vehicle_density,population_density,weather,public_transport_availability,historical_delay_factor,travel_time
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),day,Sunday,,9,1,,high,,1,0.8789090894922502,26.907611608932612
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),morning,Thursday,,7,1,medium,high,,1,1.0816677474427108,27.489128905941204
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),morning,Thursday,,7,0,medium,low,,2,1.1923792259507595,27.22897755160608
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),morning,Friday,10.0,9,0,medium,high,fog,1,0.833348232866298,33.943970166305434
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),day,Tuesday,,7,0,medium,high,rain,2,0.9668188917750042,20.603114554090304
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),morning,Sunday,10.0,9,1,,high,,2,0.8861264256016403,45.48635986650946
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),morning,Tuesday,,8,1,medium,medium,,2,0.9510596832946863,21.22134757497063
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Saturday,,9,0,medium,low,rain,2,1.1416047979159032,38.01925203642904
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),day,Saturday,9.0,7,0,,,clear,2,0.7992981883309174,61.23325849555212
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),day,Tuesday,,7,1,medium,medium,rain,2,0.9677033764766525,18.76607916106014
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),evening,Sunday,,9,1,,low,,2,1.0987042993064693,25.72718413588536
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),morning,Friday,,7,0,low,,fog,2,0.9574300030036913,48.26650529975494
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),morning,Wednesday,9.0,7,1,,low,fog,0,1.2472502631952433,19.522191644665323
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),day,Sunday,,8,1,medium,low,,2,0.9255558990071473,61.74756750790453
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),night,Monday,5.0,8,0,medium,low,fog,2,0.8619993988373136,16.183289442194912
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),evening,Sunday,7.0,8,1,low,low,,2,0.9781887640464202,67.25877088894322
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),morning,Friday,9.0,7,0,,low,clear,2,0.8954951637647306,66.42047304030935
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),morning,Monday,9.0,9,0,,medium,rain,2,0.777916869580311,20.386129778058386
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),night,Sunday,10.0,8,1,,low,,0,1.2404184264435547,12.383783662697917
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Thursday,5.0,8,1,low,,clear,0,1.2048328414891671,18.25652085131779
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),night,Friday,,7,1,medium,medium,clear,2,0.9951800210789856,20.670186612096227
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),evening,Wednesday,5.0,7,0,,high,,2,1.1374026065504053,40.83399661511598
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),morning,Saturday,9.0,9,1,medium,,clear,1,0.882785398587822,18.998714573590764
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),morning,Tuesday,,8,0,,medium,,1,0.9370104756420092,31.285415674334416
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Tuesday,9.0,9,1,,low,storm,2,1.0459134793797733,37.30872241070632
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Saturday,9.0,9,0,medium,,clear,2,1.0852104829840339,40.28718079046798
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Monday,9.0,9,0,medium,medium,fog,0,1.1855888380063786,18.149112447128537
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),morning,Thursday,,9,1,,medium,clear,2,1.0439327350866634,13.750168988249705
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),night,Thursday,9.0,7,0,,,clear,2,1.0695687787520032,21.74289352426984
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),morning,Friday,,7,1,medium,medium,,0,1.0701816143523466,24.106401009138704
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),day,Tuesday,9.0,7,1,high,high,,2,1.1757849438107666,39.477852380903514
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),evening,Saturday,10.0,7,1,,medium,clear,2,1.2357977422016406,24.918428797434192
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),day,Monday,10.0,7,0,low,medium,fog,2,1.2024730013749674,16.94936369505729
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),day,Saturday,,7,1,,,clear,2,1.144581601089206,15.896721791119502
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),night,Monday,,7,0,medium,,clear,2,1.0708457268832245,14.05734589403811
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),night,Saturday,9.0,9,0,medium,,storm,1,0.7675054113693063,23.655510888625095
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),day,Saturday,,8,0,medium,medium,rain,1,1.227818241220262,27.524230980614682
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),evening,Tuesday,5.0,9,0,medium,low,clear,2,1.0680732612529256,29.32559375294884
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),evening,Sunday,10.0,9,1,,medium,,2,1.1246974045648215,28.86138583775643
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Wednesday,,8,1,low,medium,storm,2,0.8046494768677797,35.80605767036612
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),night,Friday,10.0,9,0,low,medium,fog,2,0.7964506471316346,45.57351041671697
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),evening,Saturday,5.0,9,0,low,medium,,0,1.0790457886480862,21.568360437710854
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),day,Saturday,,7,1,,low,,2,1.049311218287055,23.063454250485535
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),day,Sunday,,8,1,high,medium,,2,0.9828493225247659,22.103239302319196
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),day,Thursday,9.0,7,0,,,storm,2,0.9954492987592618,34.14377205986838
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),evening,Thursday,,7,1,medium,,,2,1.0895345323516092,57.34834877184196
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),night,Friday,10.0,8,1,,medium,,1,1.1787930799653132,23.01680082196224
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),night,Friday,5.0,8,0,medium,high,rain,2,1.0658430996250632,32.87687822796906
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),evening,Saturday,,7,0,low,,,1,1.0768761787193972,35.19435900974247
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),night,Wednesday,,8,1,medium,high,fog,1,0.950944485877547,42.283008926927366
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),evening,Sunday,9.0,7,0,,,storm,2,1.0991599383644284,24.7475153888383
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),morning,Monday,10.0,9,0,low,low,,2,0.955585508684778,14.053022436522207
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),night,Saturday,10.0,8,0,medium,,clear,1,1.0150190067005882,21.675781269483878
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),evening,Monday,10.0,9,1,,high,,0,0.9063751964185531,23.37595919370222
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),evening,Friday,9.0,7,0,medium,,fog,2,0.9442817395075909,44.334729453741495
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),evening,Friday,9.0,7,1,medium,high,,2,0.8035085995287672,81.23623936204675
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),night,Monday,9.0,8,1,medium,medium,clear,1,0.8427393872270021,35.47890493182036
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),night,Friday,9.0,9,1,,medium,rain,0,0.8355221772054048,17.890491729360214
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),day,Sunday,10.0,7,0,low,medium,fog,2,0.8166016933292055,60.45021911352109
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),evening,Monday,9.0,48,1,high,low,,2,0.9831085380490785,21.965495026583312
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),morning,Thursday,9.0,9,1,,,,1,1.194138572837704,13.954714608863267
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Sunday,5.0,7,1,medium,,storm,0,1.0873040977345436,20.665231775271216
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),day,Wednesday,5.0,8,0,,low,,1,0.9177881507010004,37.45472835174942
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),evening,Sunday,,9,1,,low,fog,1,1.189657222230625,23.325639948964273
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),evening,Monday,5.0,9,1,medium,medium,clear,2,0.922661504634289,38.68069648202263
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),night,Monday,7.0,7,0,high,,fog,2,1.2320496353617416,21.47981038653741
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),morning,Saturday,,9,0,medium,,fog,2,0.7549100688430778,18.76851727655673
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Thursday,9.0,8,1,medium,,rain,0,0.8957091579263636,21.45593416336692
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),evening,Wednesday,5.0,7,0,,medium,clear,2,1.0370638202124063,11.201228236542722
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),day,Sunday,10.0,8,1,high,,,2,0.8204441836911075,37.24206878656891
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),day,Tuesday,9.0,8,0,high,medium,storm,2,1.0201900799627281,19.520853101482064
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),night,Monday,10.0,9,1,high,high,storm,1,0.8913846146434186,11.998119612001199
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),night,Saturday,7.0,8,1,,,rain,2,1.146089302666644,16.12518556806496
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),morning,Tuesday,,9,0,,low,,1,1.0034753957487519,44.927052649035765
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),night,Friday,9.0,8,0,,medium,fog,2,0.8068920055806124,19.384052864468615
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),day,Saturday,10.0,7,1,,high,fog,1,1.0589288629597515,46.144652993319504
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),day,Friday,8.0,7,0,,,,1,0.8808097667340011,17.403458276691538
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),evening,Sunday,10.0,8,0,medium,,,2,0.7627518275818526,16.604263956135295
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),evening,Tuesday,10.0,9,1,low,medium,,0,0.8485670146609503,18.661095825052165
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),day,Saturday,9.0,9,0,,high,rain,1,0.9794848736741516,17.18214432431117
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),evening,Sunday,,7,1,medium,medium,,1,1.001067571248754,39.07483941254582
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Monday,10.0,8,1,medium,medium,fog,0,0.9694775608454221,12.141597551456192
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),day,Monday,9.0,9,0,,medium,,2,1.2445125437151918,14.552706161519941
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),morning,Thursday,,7,1,,medium,,2,1.1747217215860404,62.62109153025994
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),day,Thursday,9.0,8,0,medium,,rain,2,0.9523504288555905,49.17903420076207
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),evening,Tuesday,,7,0,medium,high,fog,1,1.1354277321947928,21.742033661646776
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),evening,Thursday,9.0,9,0,low,medium,clear,2,0.9911910595458562,43.13216820476331
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),evening,Saturday,,49,0,low,medium,,1,0.9280061250377618,50.898246502747604
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),evening,Wednesday,9.0,9,1,medium,,,2,0.9428246571677713,39.79287010948106
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),day,Thursday,9.0,7,0,medium,,rain,2,0.7670606292895361,13.554501655449313
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),evening,Monday,10.0,7,0,medium,,fog,2,1.0310633580809556,40.601685057604186
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),evening,Tuesday,9.0,9,1,medium,medium,clear,1,0.9843295141897094,46.98729471762369
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),morning,Wednesday,9.0,7,0,medium,medium,fog,2,1.0681506682251696,38.73183721291274
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),night,Tuesday,,8,1,low,medium,,2,0.9421668991144039,2.4902072392748407
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),day,Monday,9.0,8,0,medium,high,,1,1.0862347707468794,25.11287338940825
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),evening,Friday,9.0,9,0,high,high,fog,1,1.072010973556283,20.386256585562194
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),evening,Sunday,9.0,8,1,low,,fog,2,0.8043824426479248,50.74069141595795
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),morning,Monday,9.0,9,0,low,medium,storm,1,1.1544861295300173,21.307269225845516
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),night,Monday,,7,0,medium,medium,fog,2,0.8684156204039342,30.671717987688808
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),morning,Monday,9.0,8,0,medium,,rain,1,1.1395186526967613,29.795881211679447
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),evening,Saturday,,9,0,,,,1,1.0362893648290679,22.33323561300076
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),day,Friday,,7,0,high,medium,rain,2,1.2238330053846203,30.893407654857167
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),night,Saturday,5.0,7,0,medium,high,fog,2,1.2121752313038165,20.575540994228117
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),evening,Friday,5.0,8,0,medium,medium,,0,0.9406626759386663,20.233577941641574
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),day,Monday,,9,1,medium,low,storm,2,0.9342517728860464,24.733014365252174
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),morning,Sunday,,7,1,medium,low,rain,1,1.2121449974517773,37.66161409041098
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),evening,Friday,,8,0,medium,medium,fog,2,1.1747919553554267,25.268033029041174
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Monday,9.0,9,1,medium,medium,fog,2,0.8647112985866185,33.21444669110407
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),night,Saturday,9.0,8,0,low,low,fog,2,0.9268570480978582,49.84635237736619
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Wednesday,9.0,8,0,low,high,storm,0,0.9966046466890954,17.78740929110072
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),evening,Wednesday,9.0,7,0,medium,,,2,0.9867869616564044,63.399138150916514
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),morning,Saturday,9.0,7,0,high,,storm,1,1.1402392751391714,18.200606354304973
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),morning,Tuesday,5.0,7,1,medium,low,,2,0.9811264086090674,35.85320628723366
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),morning,Tuesday,10.0,9,1,,high,storm,2,0.9776292427930922,39.748806143726554
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),day,Sunday,,8,0,,,storm,2,1.071121292959202,41.29228675443218
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),day,Thursday,9.0,7,0,medium,high,clear,2,1.1540143478201375,22.425948189672578
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),evening,Saturday,,7,1,medium,low,rain,2,1.1808259475511191,43.04810823207463
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),evening,Monday,,7,0,medium,,fog,0,0.9324126029520222,18.801054820877816
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),day,Thursday,10.0,8,1,,,storm,1,1.0852193180100298,10.682775887656874
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),morning,Wednesday,,7,0,,low,storm,0,0.885918953296073,18.406438972736936
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),evening,Wednesday,10.0,7,1,high,,fog,2,0.9531424084387223,41.28736847132226
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),evening,Saturday,,7,0,medium,,clear,0,1.1470754524133155,27.23139049741158
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),morning,Tuesday,9.0,9,1,,low,,2,1.0308414794026164,34.50258145044146
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),night,Tuesday,,9,1,low,,fog,1,1.0899537969262707,31.135072232558898
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),day,Tuesday,9.0,8,1,high,medium,,2,1.0426865961090352,27.681855859966824
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),day,Sunday,9.0,9,1,medium,medium,fog,2,0.7525083918062847,14.11648359223994
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),evening,Monday,,8,1,low,,fog,2,1.3286395429614728,27.76747450743016
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),night,Thursday,9.0,9,1,medium,,rain,2,0.7720359938221117,37.320534041563064
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),evening,Saturday,9.0,9,1,,,storm,1,0.9629342711402396,20.784041970817366
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),day,Sunday,,47,0,low,medium,,2,0.8442034721121071,57.649580656795564
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),morning,Saturday,,9,0,low,,,2,0.8794476353178995,68.07567287103036
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),night,Monday,,7,1,high,,,1,1.2303293159384454,13.518285270569276
West Jakarta (Jakarta Barat),East Jakarta (Jakarta Timur),night,Friday,9.0,9,0,low,high,rain,2,0.9687621284492322,33.90656800921291
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),morning,Saturday,,8,0,medium,low,storm,2,0.8349567548236565,63.98169449111062
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),evening,Monday,,8,1,,,rain,2,0.9660421965716499,59.47701787404459
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),morning,Tuesday,,9,0,,medium,,1,0.8660067332371161,25.49924577199786
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),day,Thursday,9.0,7,0,high,,fog,1,1.163892389699059,13.83506440633596
Central Jakarta (Jakarta Pusat),North Jakarta (Jakarta Utara),morning,Saturday,5.0,9,1,high,medium,storm,2,0.8918045413456356,42.262499135886856
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Tuesday,9.0,7,1,low,medium,storm,0,1.077982285245732,19.755062506854514
Central Jakarta (Jakarta Pusat),West Jakarta (Jakarta Barat),night,Monday,7.0,8,0,,high,,2,1.180282904325472,14.842881905404425
Central Jakarta (Jakarta Pusat),East Jakarta (Jakarta Timur),day,Friday,,9,0,,medium,,2,1.1330987690768504,31.637315069460158
North Jakarta (Jakarta Utara),West Jakarta (Jakarta Barat),day,Sunday,5.0,8,1,low,low,clear,0,0.8003690472332636,18.99474795033941
North Jakarta (Jakarta Utara),East Jakarta (Jakarta Timur),morning,Monday,9.0,8,0,,low,,2,1.158801298547955,63.67526433569168
Central Jakarta (Jakarta Pusat),South Jakarta (Jakarta Selatan),day,Thursday,9.0,7,1,,high,,1,0.8765050476330483,13.63408377649025
West Jakarta (Jakarta Barat),South Jakarta (Jakarta Selatan),day,Thursday,9.0,7,0,low,medium,fog,1,1.1310325433993218,22.6643747186863
North Jakarta (Jakarta Utara),South Jakarta (Jakarta Selatan),night,Thursday,9.0,7,1,,low,storm,1,1.1811761544700365,38.162589608334564
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),day,Friday,9.0,7,1,,medium,fog,2,1.078953706991304,17.443376099688514
South Jakarta (Jakarta Selatan),East Jakarta (Jakarta Timur),evening,Monday,9.0,7,0,low,medium,,2,1.1916172366323157,10.794008304001805
